bit,he3db_ms,ethmsb_ms,speedup
1,38.0984,38.346,0.993543
2,37.509,34.8156,1.07736
3,33.2512,33.6006,0.989602
4,36.8707,37.8671,0.973688
5,99.0837,69.0001,1.43599
6,93.3332,66.2751,1.40827
7,90.5029,62.2701,1.45339
8,86.9571,64.4588,1.34903
9,125.728,58.7077,2.14159
10,361.687,284.017,1.27347
11,302.658,263.166,1.15006
12,294.402,249.905,1.17805
13,327.335,268.04,1.22122
14,454.655,222.728,2.0413
15,406.846,277.581,1.46569
16,394.191,268.823,1.46636
17,440.469,290.06,1.51854
18,401.123,253.905,1.57982
19,514.119,249.636,2.05948
20,512.398,315.09,1.62619
21,513.08,317.95,1.61371
22,506.752,311.325,1.62773
23,501.571,319.242,1.57113
24,638.894,308.704,2.0696
25,651.527,374.027,1.74192
26,634.272,373.841,1.69663
27,640.767,383.656,1.67016
28,632.589,371.387,1.70332
29,769.769,389.2,1.97783
30,769.455,440.817,1.74552
31,772.212,450.418,1.71443
32,769.589,446.516,1.72354
