bit,he3db_ms,ethmsb_ms,speedup
0,66.4184,70.0553,0.948086
1,68.12,69.2796,0.983262
2,68.1141,68.1267,0.999816
3,65.6659,72.136,0.910308
4,72.1639,65.449,1.1026
5,159.008,116.537,1.36444
6,160.121,117.326,1.36476
7,165.056,111.743,1.4771
8,162.357,112.467,1.44359
9,250.954,113.438,2.21226
10,461.433,340.207,1.35633
11,460.093,343.654,1.33883
12,460.865,340.523,1.3534
13,456.353,341.516,1.33626
14,723.227,352.7,2.05055
15,733.303,480.267,1.52687
16,728.081,478.487,1.52163
17,737.382,477.69,1.54364
18,732.924,480.18,1.52635
19,1017.66,488.982,2.08118
20,1012.06,629.928,1.60663
21,1020.35,628.093,1.62451
22,1017.4,632.082,1.6096
23,996.851,606.276,1.64422
24,1072.47,622.788,2.05144
25,1148.57,681.066,1.68644
26,1190.29,701.783,1.6961
27,1205.96,709.758,1.69912
28,1201.13,709.232,1.69357
29,1463.67,711.643,2.05675
30,1725.61,990.623,1.74194
31,1763.99,1028.94,1.71438
32,1766.82,1021.24,1.73008
