bit,he3db_ms,ethmsb_ms,speedup
1,9.94425,10.0087,0.993559
2,9.60105,9.61042,0.999024
3,9.56701,9.5674,0.99996
4,9.58626,10.0276,0.955992
5,28.8067,19.1787,1.50202
6,28.9745,19.3683,1.49598
7,28.9436,19.823,1.46011
8,29.53,19.6144,1.50553
9,51.4198,19.8591,2.58924
10,112.093,86.8191,1.29111
11,106.871,78.9224,1.35412
12,106.301,78.7704,1.3495
13,105.562,78.7539,1.3404
14,173.418,78.6187,2.20581
15,172.98,111.945,1.54522
16,173.144,112.755,1.53557
17,175.188,113.487,1.54368
18,185.25,120.01,1.54363
19,240.218,112.433,2.13655
20,239.402,145.379,1.64674
21,238.521,144.721,1.64814
22,238.811,145.55,1.64074
23,241.926,146.806,1.64793
24,309.176,148.153,2.08687
25,319.621,178.936,1.78623
26,303.59,177.826,1.70724
27,304.239,178.635,1.70313
28,304.509,180.201,1.68982
29,371.472,182.801,2.03211
30,373.441,215.219,1.73516
31,375.805,215.479,1.74405
32,367.458,210.03,1.74955
