bit,he3db_ms,ethmsb_ms,speedup
1,22.111,26.859,0.823225
2,18.2095,18.0111,1.01101
3,17.1022,17.2702,0.990272
4,19.1796,18.4373,1.04026
5,59.0841,34.1445,1.73041
6,50.1055,33.2275,1.50795
7,52.1674,34.3858,1.51712
8,49.2691,39.9607,1.23294
9,84.168,50.5236,1.66591
10,410.773,294.864,1.39309
11,409.801,293.582,1.39587
12,398.435,293.123,1.35927
13,399.655,295.327,1.35327
14,660.132,431.366,1.53033
15,683.226,437.028,1.56335
16,655.611,416.234,1.5751
17,682.643,417.136,1.6365
18,670.466,430.189,1.55854
19,901.698,539.726,1.67066
20,917.69,551.587,1.66373
21,917.524,534.114,1.71784
22,913.856,542.15,1.68561
23,895.884,566.828,1.58052
24,1152.48,676.655,1.7032
25,601.62,325.845,1.84634
26,357.667,210.384,1.70007
27,358.34,208.014,1.72267
28,355.837,208.463,1.70695
29,424.466,243.691,1.74182
30,410.82,237.068,1.73292
31,410.361,233.901,1.75442
32,402.187,229.648,1.75131
