bit,he3db_ms,ethmsb_ms,speedup
1,9.91663,10.0986,0.981979
2,9.46013,9.4927,0.996569
3,9.54811,9.49503,1.00559
4,9.69588,9.7,0.999575
5,28.9641,19.2113,1.50766
6,28.236,18.7921,1.50254
7,29.2434,19.0723,1.53329
8,29.0485,19.3246,1.50319
9,48.9082,19.1405,2.55522
10,108.063,80.4687,1.34292
11,116.628,85.0464,1.37135
12,109.687,81.0133,1.35393
13,105.3,78.6535,1.33878
14,173.18,78.5043,2.20599
15,172.075,111.593,1.54198
16,172.582,112.205,1.53809
17,173.529,112.651,1.54041
18,175.566,113.171,1.55133
19,243.634,114.873,2.12089
20,243.238,148.001,1.64349
21,250.339,148.425,1.68664
22,267.25,144.216,1.6451
23,266.944,144.208,1.64307
24,306.712,144.747,2.11896
25,309.417,180.966,1.7098
26,309.693,179.413,1.72615
27,312.284,186.146,1.67763
28,303.908,176.789,1.71904
29,370.214,179.85,2.05847
30,380.556,213.026,1.78643
31,376.347,209.153,1.79939
32,369.118,209.581,1.76122
