bit,he3db_ms,ethmsb_ms,speedup
0,22.9437,25.1076,0.913816
1,27.2434,17.8245,1.52842
2,21.5366,26.2114,0.82165
3,20.8316,24.9582,0.834661
4,23.2699,21.9199,1.06158
5,72.0119,44.4864,1.61874
6,67.8285,49.0456,1.38297
7,69.7782,48.9082,1.42672
8,70.4513,47.2657,1.49054
9,116.298,43.9691,2.64498
10,219.494,162.912,1.34732
11,222.76,162.968,1.36689
12,218.042,159.137,1.37015
13,216.82,161.17,1.34529
14,353.884,159.68,2.21621
15,350.827,231.376,1.51626
16,352.821,238.09,1.48188
17,350.529,231.489,1.51424
18,350.21,236.639,1.47994
19,490.581,229.898,2.13391
20,493.559,302.51,1.63154
21,496.377,301.808,1.64468
22,498.209,302.371,1.64767
23,491.86,302.74,1.6247
24,627.035,301.616,2.07892
25,626.682,367.962,1.70311
26,621.815,373.689,1.66399
27,636.57,358.943,1.77346
28,630.422,371.343,1.69768
29,773.99,368.039,2.10301
30,765.666,435.896,1.75653
31,770.881,438.11,1.75956
32,766.795,435.459,1.76089
