bit,he3db_ms,ethmsb_ms,speedup
1,31.1784,30.0829,1.03642
2,29.968,30.0935,0.995832
3,29.9305,29.8103,1.00403
4,29.8854,31.3563,0.953089
5,70.2819,52.235,1.34549
6,70.4805,50.6155,1.39247
7,71.4979,49.6299,1.44062
8,70.3428,49.6389,1.41709
9,110.512,49.9056,2.21442
10,273.284,227.911,1.19908
11,276.133,228.149,1.21032
12,281.329,237.912,1.18249
13,287.573,247.25,1.16308
14,483.72,245.258,1.97229
15,491.144,348.396,1.40973
16,473.296,325.063,1.45602
17,409.106,286.677,1.42706
18,396.825,272.851,1.45436
19,536.464,271.345,1.97705
20,522.001,324.275,1.60975
21,515.337,319.367,1.61362
22,509.382,315.214,1.61599
23,502.698,313.236,1.60485
24,639.127,310.51,2.05832
25,655.479,385.901,1.69857
26,637.129,376.406,1.69266
27,634.721,374.396,1.69532
28,634.514,376.833,1.68381
29,767.875,375.972,2.04237
30,768.914,442.074,1.73934
31,798.236,462.987,1.7241
32,803.789,453.042,1.7742
