bit,he3db_ms,ethmsb_ms,speedup
0,84.144,103.01,0.816854
1,93.5798,89.4445,1.04623
2,84.8776,99.6815,0.851487
3,93.213,98.2912,0.948335
4,89.4897,99.1356,0.9027
5,220.667,159.751,1.38132
6,241.309,170.187,1.41791
7,218.807,158.979,1.37633
8,199.392,146.083,1.36493
9,318.992,145.247,2.1962
10,594.716,405.883,1.46524
11,598.778,410.907,1.45721
12,596.144,412.964,1.44357
13,596.275,417.644,1.42771
14,940.821,413.979,2.27263
15,945.358,576.203,1.64067
16,921.037,569.456,1.6174
17,953.485,584.766,1.63054
18,974.851,604.426,1.61285
19,1386.5,625.243,2.21753
20,1380.88,803.749,1.71804
21,1385.8,797.136,1.73848
22,1330.07,757.013,1.757
23,1217.07,727.658,1.67259
24,1538.72,728.004,2.11362
25,1547.24,884.919,1.74845
26,1555.84,886.695,1.75465
27,1518.6,859.831,1.76616
28,1492.04,845.046,1.76564
29,1799.9,849.153,2.11964
30,1836.89,1017.83,1.80472
31,1797.21,1010.69,1.7782
32,1790.56,999.662,1.79116
