query,impl,rows,threads,filter_ms,aggregation_ms,total_ms,metric1,metric2,plain,encrypted,final_abs_error,success,log
Q14,HE3DB,1024,96,13859,65205,79064,7.86026e-08,3.71207e-08,0.460751,0.460751,3.54169e-09,1,results/tpch_q14_he3db_omp_1024_aggopt.log
Q14,ETHMSB,1024,96,9591,67162,76753,9.39734e-08,4.42302e-08,0.418054,0.418054,1.2405e-07,1,results/tpch_q14_ethmsb_1024_aggopt.log
Q14,HE3DB,2048,96,22642,65812,88454,8.76844e-08,3.361e-08,0.352827,0.352827,1.64526e-09,1,results/tpch_q14_HE3DB_aggopt_2048.log
Q14,ETHMSB,2048,96,15669,65908,81577,9.64774e-08,4.07126e-08,0.402532,0.402532,6.47984e-08,1,results/tpch_q14_ETHMSB_aggopt_2048.log
Q14,HE3DB,4096,96,46207,69265,115472,7.70956e-08,3.81787e-08,0.364445,0.364445,2.17938e-07,1,results/tpch_q14_HE3DB_aggopt_4096.log
Q14,ETHMSB,4096,96,29645,66590,96235,9.86047e-08,3.81671e-08,0.375737,0.375737,8.2329e-08,1,results/tpch_q14_ETHMSB_aggopt_4096.log
Q14,HE3DB,8192,96,84641,68403,153044,9.52604e-08,3.5912e-08,0.340991,0.340991,2.11823e-08,1,results/tpch_q14_HE3DB_aggopt_8192.log
Q14,ETHMSB,8192,96,56354,72526,128880,8.70598e-08,3.73127e-08,0.374966,0.374966,2.47733e-08,1,results/tpch_q14_ETHMSB_aggopt_8192.log
Q14,HE3DB,16384,96,171988,70973,242961,9.07777e-08,4.05841e-08,0.401967,0.401967,2.31068e-08,1,results/tpch_q14_HE3DB_aggopt_16384.log
Q14,ETHMSB,16384,96,115315,68355,183670,8.86532e-08,3.5169e-08,0.351227,0.351227,1.00951e-08,1,results/tpch_q14_ETHMSB_aggopt_16384.log
