timestamp,query,impl,rows,pid,nlwp,process_cpu_percent,active_threads_gt1pct,thread_cpu_sum,observed_cpus
1782440394,Q6,HE3DB,1024,2885050,1,0.0,0,0.0,1
1782440404,Q6,HE3DB,1024,2885050,1,101,1,101.0,1
1782440414,Q6,HE3DB,1024,2885050,1,100,1,101.0,1
1782440424,Q6,HE3DB,1024,2885050,1,97.5,1,97.6,1
1782440435,Q6,HE3DB,1024,2885050,1,98.3,1,98.4,1
1782440445,Q6,HE3DB,1024,2885050,1,98.8,1,98.8,1
1782440455,Q6,HE3DB,1024,2885050,1,99.1,1,99.1,1
1782440465,Q6,HE3DB,1024,2885050,1,99.3,1,99.3,1
1782440475,Q6,HE3DB,1024,2885050,1,99.5,1,99.5,1
1782440485,Q6,HE3DB,1024,2885050,1,99.6,1,99.6,1
1782440495,Q6,HE3DB,1024,2885050,96,909,96,9248.5,94
1782440505,Q6,HE3DB,1024,2885050,96,1119,96,6051.3,94
1782440515,Q6,HE3DB,1024,2885050,96,1035,96,3996.8,94
1782440525,Q6,HE3DB,1024,2885050,96,963,96,2996.6,94
1782440535,Q6,HE3DB,1024,2885050,96,902,96,2404.6,94
1782440545,Q6,HE3DB,1024,2885050,96,849,96,2012.3,94
1782440555,Q6,HE3DB,1024,2885050,96,798,96,1711.4,94
1782440566,Q6,HE3DB,1024,2885050,96,757,96,1509.6,94
1782440576,Q6,HE3DB,1024,2885050,96,721,96,1352.2,94
1782440586,Q6,HE3DB,1024,2885050,96,689,96,1226.5,94
1782440596,Q6,HE3DB,1024,2885050,96,659,96,1123.8,94
