query,impl,rows,threads,filter_ms,aggregation_ms,total_ms,metric1,metric2,plain,encrypted,final_abs_error,success,log
Q6,HE3DB,1024,96,11500,60462,71962,0,1.07615e-07,2611,2611,0,1,results/tpch_Q6_HE3DB_fullcore_release_1024_20260626_102801.log
Q6,ETHMSB,1024,96,8559,60269,68828,0,1.23351e-07,2029,2029,0,1,results/tpch_Q6_ETHMSB_fullcore_release_1024_20260626_102801.log
Q6,HE3DB,2048,96,21674,60911,82585,0,8.14669e-08,3263,3263,0,1,results/tpch_Q6_HE3DB_fullcore_release_2048_20260626_102801.log
Q6,ETHMSB,2048,96,16465,60577,77042,0,1.21729e-07,4558,4558,0,1,results/tpch_Q6_ETHMSB_fullcore_release_2048_20260626_102801.log
Q6,HE3DB,4096,96,42977,60887,103864,0,1.23855e-07,10792,10792,0,1,results/tpch_Q6_HE3DB_fullcore_release_4096_20260626_102801.log
Q6,ETHMSB,4096,96,31363,61064,92427,0,1.10008e-07,9075,9075,0,1,results/tpch_Q6_ETHMSB_fullcore_release_4096_20260626_102801.log
Q6,HE3DB,8192,96,90926,61240,152166,0,1.17801e-07,19831,19831,0,1,results/tpch_Q6_HE3DB_fullcore_release_8192_20260626_102801.log
Q6,ETHMSB,8192,96,59442,63690,123132,0,1.07816e-07,18566,18566,0,1,results/tpch_Q6_ETHMSB_fullcore_release_8192_20260626_102801.log
Q6,HE3DB,16384,96,174369,73996,248365,0,1.20067e-07,39085,39085,0,1,results/tpch_Q6_HE3DB_fullcore_release_16384_20260626_102801.log
Q6,ETHMSB,16384,96,141570,65178,206748,0,1.19529e-07,40470,40470,0,1,results/tpch_Q6_ETHMSB_fullcore_release_16384_20260626_102801.log
Q14,HE3DB,1024,96,12326,132637,144963,9.72989e-08,2.10464e-08,0.246258,0.246258,5.7002e-08,1,results/tpch_Q14_HE3DB_fullcore_release_1024_20260626_102801.log
Q14,ETHMSB,1024,96,9120,134063,143183,8.06237e-08,3.02581e-08,0.352442,0.352442,5.92199e-08,1,results/tpch_Q14_ETHMSB_fullcore_release_1024_20260626_102801.log
Q14,HE3DB,2048,96,24806,217213,242019,8.40692e-08,4.87514e-08,0.432302,0.432302,1.00777e-07,1,results/tpch_Q14_HE3DB_fullcore_release_2048_20260626_102801.log
Q14,ETHMSB,2048,96,21906,137316,159222,8.50161e-08,4.07869e-08,0.462496,0.462496,1.34324e-07,1,results/tpch_Q14_ETHMSB_fullcore_release_2048_20260626_102801.log
Q14,HE3DB,4096,96,59983,170973,230956,8.96212e-08,3.25533e-08,0.286389,0.286388,1.775e-07,1,results/tpch_Q14_HE3DB_fullcore_release_4096_20260626_102801_rest.log
Q14,ETHMSB,4096,96,29404,133525,162929,8.34557e-08,3.32198e-08,0.309989,0.309989,1.02744e-07,1,results/tpch_Q14_ETHMSB_fullcore_release_4096_20260626_102801_rest.log
Q14,HE3DB,8192,96,85465,134253,219718,8.21267e-08,3.11038e-08,0.35611,0.35611,4.91997e-08,1,results/tpch_Q14_HE3DB_fullcore_release_8192_20260626_102801_rest.log
Q14,ETHMSB,8192,96,56266,139742,196008,9.43171e-08,3.93636e-08,0.409901,0.409901,4.67418e-08,1,results/tpch_Q14_ETHMSB_fullcore_release_8192_20260626_102801_rest.log
Q14,HE3DB,16384,96,169434,131181,300615,8.09484e-08,3.9731e-08,0.41649,0.41649,9.3812e-08,1,results/tpch_Q14_HE3DB_fullcore_release_16384_20260626_102801_rest.log
Q14,ETHMSB,16384,96,112809,134535,247344,9.15775e-08,3.72747e-08,0.382906,0.382906,4.57767e-08,1,results/tpch_Q14_ETHMSB_fullcore_release_16384_20260626_102801_rest.log
