timestamp,query,impl,rows,pid,state,nlwp,process_cpu_percent,active_threads_gt1pct,thread_cpu_sum,observed_cpus
1782440881,Q6,HE3DB,1024,2894416,R,1,0.0,0,0.0,1
1782440891,Q6,HE3DB,1024,2894416,R,1,101,1,101.0,1
1782440901,Q6,HE3DB,1024,2894416,R,1,101,1,101.0,1
1782440911,Q6,HE3DB,1024,2894416,R,1,101,1,101.0,1
1782440921,Q6,HE3DB,1024,2894416,Rl,96,1917,96,9277.3,95
1782440931,Q6,HE3DB,1024,2894416,Rl,96,2576,96,6605.9,95
1782440942,Q6,HE3DB,1024,2894416,Rl,96,2128,96,4360.6,95
1782440952,Q6,HE3DB,1024,2894416,Rl,96,1843,96,3267.1,95
1782440962,Q6,HE3DB,1024,2894416,Rl,96,1628,96,2619.5,95
1782440972,Q6,HE3DB,1024,2894416,Rl,96,1460,96,2191.6,95
1782440982,Q6,HE3DB,1024,2894416,Rl,96,1325,96,1888.2,95
1782440992,Q6,HE3DB,1024,2894416,Rl,96,1215,96,1661.1,95
1782441002,Q6,HE3DB,1024,2894416,Rl,96,1123,96,1485.3,95
1782441012,Q6,HE3DB,1024,2894416,Rl,96,1045,96,1345.2,95
1782441022,Q6,HE3DB,1024,2894416,Rl,96,978,96,1230.4,95
1782441032,Q6,ETHMSB,1024,2897157,R,1,0.0,0,0.0,1
1782441043,Q6,ETHMSB,1024,2897157,R,1,101,1,101.0,1
1782441053,Q6,ETHMSB,1024,2897157,R,1,101,1,101.0,1
1782441063,Q6,ETHMSB,1024,2897157,R,1,101,1,101.0,1
1782441073,Q6,ETHMSB,1024,2897157,Rl,96,1945,96,9403.5,95
1782441083,Q6,ETHMSB,1024,2897157,Rl,96,1891,96,5068.7,95
1782441093,Q6,ETHMSB,1024,2897157,Rl,96,1592,96,3292.9,95
1782441103,Q6,ETHMSB,1024,2897157,Rl,96,1379,96,2450.3,95
1782441113,Q6,ETHMSB,1024,2897157,Rl,96,1204,96,1921.4,95
1782441124,Q6,ETHMSB,1024,2897157,Rl,96,1083,96,1610.9,95
1782441134,Q6,ETHMSB,1024,2897157,Rl,96,986,96,1391.8,95
1782441144,Q6,ETHMSB,1024,2897157,Rl,96,906,96,1228.3,95
1782441154,Q6,ETHMSB,1024,2897157,Rl,96,839,96,1100.9,95
1782441164,Q6,ETHMSB,1024,2897157,Rl,96,783,96,999.0,95
1782441174,Q6,ETHMSB,1024,2897157,Rl,96,735,96,916.5,95
1782441184,Q6,HE3DB,2048,2899959,R,1,0.0,0,0.0,1
1782441194,Q6,HE3DB,2048,2899959,R,1,101,1,101.0,1
1782441204,Q6,HE3DB,2048,2899959,R,1,96.4,1,96.6,1
1782441215,Q6,HE3DB,2048,2899959,R,1,97.9,1,98.0,1
1782441225,Q6,HE3DB,2048,2899959,Rl,96,1887,96,9339.4,94
1782441235,Q6,HE3DB,2048,2899959,Rl,96,3414,96,9504.5,94
1782441245,Q6,HE3DB,2048,2899959,Rl,96,3980,96,8548.4,92
1782441255,Q6,HE3DB,2048,2899959,Rl,96,3433,96,6323.6,92
1782441265,Q6,HE3DB,2048,2899959,Rl,96,3022,96,4924.5,92
1782441275,Q6,HE3DB,2048,2899959,Rl,96,2671,96,4105.8,92
1782441286,Q6,HE3DB,2048,2899959,Rl,96,2419,96,3524.6,92
1782441296,Q6,HE3DB,2048,2899959,Rl,96,2212,96,3090.8,92
1782441306,Q6,HE3DB,2048,2899959,Rl,96,2039,96,2753.7,92
1782441316,Q6,HE3DB,2048,2899959,Rl,96,1892,96,2485.8,92
1782441326,Q6,HE3DB,2048,2899959,Rl,96,1766,96,2266.0,92
1782441336,Q6,HE3DB,2048,2899959,Rl,96,1657,96,2083.7,92
1782441346,Q6,HE3DB,2048,2899959,Rl,96,1561,96,1929.7,92
1782441356,Q6,ETHMSB,2048,2903189,R,1,0.0,1,9.0,1
1782441367,Q6,ETHMSB,2048,2903189,R,1,92.3,1,92.7,1
1782441377,Q6,ETHMSB,2048,2903189,R,1,96.4,1,96.6,1
1782441387,Q6,ETHMSB,2048,2903189,R,1,97.9,1,98.0,1
1782441397,Q6,ETHMSB,2048,2903189,Rl,96,1901,96,9400.6,95
1782441407,Q6,ETHMSB,2048,2903189,Rl,96,3409,96,9479.8,94
1782441417,Q6,ETHMSB,2048,2903189,Rl,96,3062,96,6551.1,95
1782441427,Q6,ETHMSB,2048,2903189,Rl,96,2645,96,4852.0,95
1782441437,Q6,ETHMSB,2048,2903189,Rl,96,2302,96,3782.4,95
1782441448,Q6,ETHMSB,2048,2903189,Rl,96,2063,96,3157.6,95
1782441458,Q6,ETHMSB,2048,2903189,Rl,96,1871,96,2713.6,95
1782441468,Q6,ETHMSB,2048,2903189,Rl,96,1713,96,2382.3,95
1782441478,Q6,ETHMSB,2048,2903189,Rl,96,1581,96,2125.1,95
1782441488,Q6,ETHMSB,2048,2903189,Rl,96,1468,96,1920.2,95
1782441498,Q6,ETHMSB,2048,2903189,Rl,96,1372,96,1752.8,95
1782441508,Q6,ETHMSB,2048,2903189,Rl,96,1288,96,1613.2,95
1782441518,Q6,HE3DB,4096,2906400,R,1,0.0,0,0.0,1
1782441528,Q6,HE3DB,4096,2906400,R,1,92.3,1,92.6,1
1782441539,Q6,HE3DB,4096,2906400,R,1,96.5,1,96.6,1
1782441549,Q6,HE3DB,4096,2906400,R,1,98.0,1,98.0,1
1782441559,Q6,HE3DB,4096,2906400,Sl,96,1938,96,9509.9,90
1782441569,Q6,HE3DB,4096,2906400,Rl,96,3381,96,9431.6,95
1782441579,Q6,HE3DB,4096,2906400,Rl,96,4412,96,9486.0,94
1782441589,Q6,HE3DB,4096,2906400,Rl,96,5135,96,9494.6,94
