mode,bit,operand_bits,full_bits,input_level,result_type,trials,failures,correct_rate,first_failure_index,first_lhs,first_rhs,first_value,first_expected,first_actual,seed,threads,chunk_size,elapsed_seconds,trials_per_second,parameter_header,tfhepp_commit,compiler,compile_flags
MSB,6,5,6,Lvl1,LOGIC,1048576,0,1,NA,NA,NA,NA,NA,NA,123,96,16,422.061,2484.42,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,6,5,6,Lvl1,ARITHMETIC,1048576,0,1,NA,NA,NA,NA,NA,NA,123,96,16,423.214,2477.65,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,7,6,7,Lvl1,LOGIC,1048576,0,1,NA,NA,NA,NA,NA,NA,123,96,16,432.58,2424.01,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,7,6,7,Lvl1,ARITHMETIC,1048576,0,1,NA,NA,NA,NA,NA,NA,123,96,16,448.073,2340.19,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,8,7,8,Lvl1,LOGIC,1048576,0,1,NA,NA,NA,NA,NA,NA,123,96,16,510.784,2052.87,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,8,7,8,Lvl1,ARITHMETIC,1048576,0,1,NA,NA,NA,NA,NA,NA,123,96,16,435.744,2406.41,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,9,8,9,Lvl1,LOGIC,1048576,0,1,NA,NA,NA,NA,NA,NA,123,96,16,569.551,1841.06,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,9,8,9,Lvl1,ARITHMETIC,1048576,0,1,NA,NA,NA,NA,NA,NA,123,96,16,974.772,1075.71,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,10,9,10,Lvl1,LOGIC,1048576,0,1,NA,NA,NA,NA,NA,NA,123,96,16,559.04,1875.67,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,10,9,10,Lvl1,ARITHMETIC,1048576,1,0.99999904632568359,529198,0,0,16,0,1,123,96,16,678.134,1546.27,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,11,10,11,Lvl2,LOGIC,1048576,0,1,NA,NA,NA,NA,NA,NA,123,96,16,1725.67,607.635,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,11,10,11,Lvl2,ARITHMETIC,1048576,0,1,NA,NA,NA,NA,NA,NA,123,96,16,1644.5,637.627,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,12,11,12,Lvl2,LOGIC,1048576,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2124.95,493.46,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
