mode,bit,operand_bits,full_bits,input_level,result_type,trials,failures,correct_rate,first_failure_index,first_lhs,first_rhs,first_value,first_expected,first_actual,seed,threads,chunk_size,elapsed_seconds,trials_per_second,parameter_header,tfhepp_commit,compiler,compile_flags
MSB,6,5,6,Lvl1,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,0.675475,148.044,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,6,5,6,Lvl1,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,0.573847,174.263,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,7,6,7,Lvl1,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,0.491885,203.3,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,7,6,7,Lvl1,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,0.489898,204.124,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,8,7,8,Lvl1,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,0.490903,203.706,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,8,7,8,Lvl1,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,0.488096,204.878,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,9,8,9,Lvl1,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,0.483444,206.849,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,9,8,9,Lvl1,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,0.478458,209.005,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,10,9,10,Lvl1,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,0.45792,218.379,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,10,9,10,Lvl1,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,0.480873,207.955,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,11,10,11,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.1002,47.6145,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,11,10,11,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.12359,47.0901,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,12,11,12,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.16516,46.1859,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,12,11,12,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.09899,47.6419,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,13,12,13,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.08273,48.0139,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,13,12,13,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.04091,48.9978,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,14,13,14,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.1068,47.4653,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,14,13,14,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.24676,44.5086,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,15,14,15,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.1348,46.8427,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,15,14,15,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.2889,43.6892,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,16,15,16,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.00206,33.3105,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,16,15,16,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.89169,34.5818,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,17,16,17,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.11189,32.1348,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,17,16,17,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.21989,31.0569,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,18,17,18,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.12787,31.9706,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,18,17,18,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.90381,34.4375,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,19,18,19,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.1898,31.3499,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,19,18,19,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.87082,34.8333,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,20,19,20,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.85984,34.967,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,20,19,20,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,2.95415,33.8507,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,21,20,21,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.76253,26.5779,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,21,20,21,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.78685,26.4072,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,22,21,22,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.79878,26.3242,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,22,21,22,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.78784,26.4002,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,23,22,23,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.73388,26.7818,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,23,22,23,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.76788,26.5401,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,24,23,24,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.41584,29.2754,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,24,23,24,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.63089,27.5415,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,25,24,25,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.47888,28.7449,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,25,24,25,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.30987,30.2126,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,26,25,26,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,4.0999,24.3908,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,26,25,26,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,3.78783,26.4003,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,27,26,27,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,4.22788,23.6525,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,27,26,27,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,4.32891,23.1005,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,28,27,28,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,4.20889,23.7592,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,28,27,28,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,4.09088,24.4446,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,29,28,29,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,4.3999,22.7278,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,29,28,29,Lvl2,ARITHMETIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,4.47388,22.352,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
MSB,30,29,30,Lvl2,LOGIC,100,0,1,NA,NA,NA,NA,NA,NA,123,96,16,4.21588,23.7198,params/128bit.hpp,c17ada357687b3917778bd080cf6cc20ce61e7d1,"11.4.0","Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON"
