Thu Jun 25 16:16:49 CST 2026
ETHMSB correctness stress runner
mode=MSB bits=6..33 trials=100 seed=123 threads=96
parameter_header=params/128bit.hpp
compile_flags=Release USE_AVX512=OFF USE_SPQLIOS_INTL=ON
Starting MSB bit=6 LOGIC trials=100 threads=96
MSB bit=6 LOGIC failures=0/100 correct_rate=1 elapsed_s=0.675475
Starting MSB bit=6 ARITHMETIC trials=100 threads=96
MSB bit=6 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=0.573847
Starting MSB bit=7 LOGIC trials=100 threads=96
MSB bit=7 LOGIC failures=0/100 correct_rate=1 elapsed_s=0.491885
Starting MSB bit=7 ARITHMETIC trials=100 threads=96
MSB bit=7 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=0.489898
Starting MSB bit=8 LOGIC trials=100 threads=96
MSB bit=8 LOGIC failures=0/100 correct_rate=1 elapsed_s=0.490903
Starting MSB bit=8 ARITHMETIC trials=100 threads=96
MSB bit=8 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=0.488096
Starting MSB bit=9 LOGIC trials=100 threads=96
MSB bit=9 LOGIC failures=0/100 correct_rate=1 elapsed_s=0.483444
Starting MSB bit=9 ARITHMETIC trials=100 threads=96
MSB bit=9 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=0.478458
Starting MSB bit=10 LOGIC trials=100 threads=96
MSB bit=10 LOGIC failures=0/100 correct_rate=1 elapsed_s=0.45792
Starting MSB bit=10 ARITHMETIC trials=100 threads=96
MSB bit=10 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=0.480873
Starting MSB bit=11 LOGIC trials=100 threads=96
MSB bit=11 LOGIC failures=0/100 correct_rate=1 elapsed_s=2.1002
Starting MSB bit=11 ARITHMETIC trials=100 threads=96
MSB bit=11 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=2.12359
Starting MSB bit=12 LOGIC trials=100 threads=96
MSB bit=12 LOGIC failures=0/100 correct_rate=1 elapsed_s=2.16516
Starting MSB bit=12 ARITHMETIC trials=100 threads=96
MSB bit=12 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=2.09899
Starting MSB bit=13 LOGIC trials=100 threads=96
MSB bit=13 LOGIC failures=0/100 correct_rate=1 elapsed_s=2.08273
Starting MSB bit=13 ARITHMETIC trials=100 threads=96
MSB bit=13 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=2.04091
Starting MSB bit=14 LOGIC trials=100 threads=96
MSB bit=14 LOGIC failures=0/100 correct_rate=1 elapsed_s=2.1068
Starting MSB bit=14 ARITHMETIC trials=100 threads=96
MSB bit=14 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=2.24676
Starting MSB bit=15 LOGIC trials=100 threads=96
MSB bit=15 LOGIC failures=0/100 correct_rate=1 elapsed_s=2.1348
Starting MSB bit=15 ARITHMETIC trials=100 threads=96
MSB bit=15 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=2.2889
Starting MSB bit=16 LOGIC trials=100 threads=96
MSB bit=16 LOGIC failures=0/100 correct_rate=1 elapsed_s=3.00206
Starting MSB bit=16 ARITHMETIC trials=100 threads=96
MSB bit=16 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=2.89169
Starting MSB bit=17 LOGIC trials=100 threads=96
MSB bit=17 LOGIC failures=0/100 correct_rate=1 elapsed_s=3.11189
Starting MSB bit=17 ARITHMETIC trials=100 threads=96
MSB bit=17 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=3.21989
Starting MSB bit=18 LOGIC trials=100 threads=96
MSB bit=18 LOGIC failures=0/100 correct_rate=1 elapsed_s=3.12787
Starting MSB bit=18 ARITHMETIC trials=100 threads=96
MSB bit=18 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=2.90381
Starting MSB bit=19 LOGIC trials=100 threads=96
MSB bit=19 LOGIC failures=0/100 correct_rate=1 elapsed_s=3.1898
Starting MSB bit=19 ARITHMETIC trials=100 threads=96
MSB bit=19 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=2.87082
Starting MSB bit=20 LOGIC trials=100 threads=96
MSB bit=20 LOGIC failures=0/100 correct_rate=1 elapsed_s=2.85984
Starting MSB bit=20 ARITHMETIC trials=100 threads=96
MSB bit=20 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=2.95415
Starting MSB bit=21 LOGIC trials=100 threads=96
MSB bit=21 LOGIC failures=0/100 correct_rate=1 elapsed_s=3.76253
Starting MSB bit=21 ARITHMETIC trials=100 threads=96
MSB bit=21 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=3.78685
Starting MSB bit=22 LOGIC trials=100 threads=96
MSB bit=22 LOGIC failures=0/100 correct_rate=1 elapsed_s=3.79878
Starting MSB bit=22 ARITHMETIC trials=100 threads=96
MSB bit=22 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=3.78784
Starting MSB bit=23 LOGIC trials=100 threads=96
MSB bit=23 LOGIC failures=0/100 correct_rate=1 elapsed_s=3.73388
Starting MSB bit=23 ARITHMETIC trials=100 threads=96
MSB bit=23 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=3.76788
Starting MSB bit=24 LOGIC trials=100 threads=96
MSB bit=24 LOGIC failures=0/100 correct_rate=1 elapsed_s=3.41584
Starting MSB bit=24 ARITHMETIC trials=100 threads=96
MSB bit=24 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=3.63089
Starting MSB bit=25 LOGIC trials=100 threads=96
MSB bit=25 LOGIC failures=0/100 correct_rate=1 elapsed_s=3.47888
Starting MSB bit=25 ARITHMETIC trials=100 threads=96
MSB bit=25 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=3.30987
Starting MSB bit=26 LOGIC trials=100 threads=96
MSB bit=26 LOGIC failures=0/100 correct_rate=1 elapsed_s=4.0999
Starting MSB bit=26 ARITHMETIC trials=100 threads=96
MSB bit=26 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=3.78783
Starting MSB bit=27 LOGIC trials=100 threads=96
MSB bit=27 LOGIC failures=0/100 correct_rate=1 elapsed_s=4.22788
Starting MSB bit=27 ARITHMETIC trials=100 threads=96
MSB bit=27 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=4.32891
Starting MSB bit=28 LOGIC trials=100 threads=96
MSB bit=28 LOGIC failures=0/100 correct_rate=1 elapsed_s=4.20889
Starting MSB bit=28 ARITHMETIC trials=100 threads=96
MSB bit=28 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=4.09088
