scheme,operand_bits,full_bits,input_level,intermediate_level,output_level,kappa,result_type,trials,seed,failures,pbs_count,iks_count,pbs_l1_count,pbs_l2_count,iks_lvl1_to_lvl0_count,iks_lvl2_to_lvl0_count,iks_lvl2_to_lvl1_count,final_path,mean_ms,median_ms,stddev_ms,min_ms,max_ms,TFHEpp_commit,parameter_header,compiler,compile_flags,thread_count
ETHMSB-current-branch,4,5,Lvl1,Lvl1,Lvl1,5,LOGIC,20,123,0,1,1,1,0,1,0,0,Lvl1->Lvl0->Lvl1,10.7659,10.7796,0.798836,9.82278,12.5238,cfb688b92b4a07e650e30532897fdcdfbc0c726e,params/128bit.hpp,"13.3.0","Release",1
ETHMSB-current-branch,4,5,Lvl1,Lvl1,Lvl1,5,ARITHMETIC,20,123,0,1,1,1,0,1,0,0,Lvl1->Lvl0->Lvl1,10.551,10.2595,0.671712,9.91006,12.0825,cfb688b92b4a07e650e30532897fdcdfbc0c726e,params/128bit.hpp,"13.3.0","Release",1
ETHMSB-current-branch,8,9,Lvl1,Lvl1,Lvl1,5,LOGIC,20,123,0,2,2,2,0,2,0,0,Lvl1->Lvl0->Lvl1,20.8609,20.402,1.22012,19.7317,24.2185,cfb688b92b4a07e650e30532897fdcdfbc0c726e,params/128bit.hpp,"13.3.0","Release",1
ETHMSB-current-branch,8,9,Lvl1,Lvl1,Lvl1,5,ARITHMETIC,20,123,0,2,2,2,0,2,0,0,Lvl1->Lvl0->Lvl1,20.655,20.4497,1.12608,19.5975,23.2311,cfb688b92b4a07e650e30532897fdcdfbc0c726e,params/128bit.hpp,"13.3.0","Release",1
ETHMSB-current-branch,10,11,Lvl2,Lvl2,Lvl1,5,LOGIC,20,123,0,3,3,1,2,0,3,0,Lvl2->Lvl0->Lvl1,71.8423,71.8764,2.8122,67.7802,79.1144,cfb688b92b4a07e650e30532897fdcdfbc0c726e,params/128bit.hpp,"13.3.0","Release",1
ETHMSB-current-branch,10,11,Lvl2,Lvl2,Lvl1,5,ARITHMETIC,20,123,0,3,3,1,2,0,3,0,Lvl2->Lvl0->Lvl1,69.9627,69.6856,2.02099,67.3796,74.6735,cfb688b92b4a07e650e30532897fdcdfbc0c726e,params/128bit.hpp,"13.3.0","Release",1
ETHMSB-current-branch,12,13,Lvl2,Lvl2,Lvl1,5,LOGIC,20,123,0,3,3,1,2,0,3,0,Lvl2->Lvl0->Lvl1,71.7366,71.2926,2.69871,68.5418,76.9599,cfb688b92b4a07e650e30532897fdcdfbc0c726e,params/128bit.hpp,"13.3.0","Release",1
ETHMSB-current-branch,12,13,Lvl2,Lvl2,Lvl1,5,ARITHMETIC,20,123,0,3,3,1,2,0,3,0,Lvl2->Lvl0->Lvl1,71.4321,71.7888,2.20922,68.0463,75.9284,cfb688b92b4a07e650e30532897fdcdfbc0c726e,params/128bit.hpp,"13.3.0","Release",1
ETHMSB-current-branch,16,17,Lvl2,Lvl2,Lvl1,5,LOGIC,20,123,0,4,4,1,3,0,4,0,Lvl2->Lvl0->Lvl1,100.545,100.033,2.80202,96.8148,106.844,cfb688b92b4a07e650e30532897fdcdfbc0c726e,params/128bit.hpp,"13.3.0","Release",1
ETHMSB-current-branch,16,17,Lvl2,Lvl2,Lvl1,5,ARITHMETIC,20,123,0,4,4,1,3,0,4,0,Lvl2->Lvl0->Lvl1,100.075,99.3741,3.71495,94.8618,109.667,cfb688b92b4a07e650e30532897fdcdfbc0c726e,params/128bit.hpp,"13.3.0","Release",1
ETHMSB-current-branch,24,25,Lvl2,Lvl2,Lvl1,5,LOGIC,20,123,0,5,5,1,4,0,5,0,Lvl2->Lvl0->Lvl1,130.737,130.931,3.59707,123.787,140.187,cfb688b92b4a07e650e30532897fdcdfbc0c726e,params/128bit.hpp,"13.3.0","Release",1
ETHMSB-current-branch,24,25,Lvl2,Lvl2,Lvl1,5,ARITHMETIC,20,123,0,5,5,1,4,0,5,0,Lvl2->Lvl0->Lvl1,133.165,134.302,4.85064,125.414,144.443,cfb688b92b4a07e650e30532897fdcdfbc0c726e,params/128bit.hpp,"13.3.0","Release",1
ETHMSB-current-branch,32,33,Lvl2,Lvl2,Lvl1,5,LOGIC,20,123,0,7,7,1,6,0,7,0,Lvl2->Lvl0->Lvl1,192.066,191.523,4.08835,186.091,199.415,cfb688b92b4a07e650e30532897fdcdfbc0c726e,params/128bit.hpp,"13.3.0","Release",1
ETHMSB-current-branch,32,33,Lvl2,Lvl2,Lvl1,5,ARITHMETIC,20,123,0,7,7,1,6,0,7,0,Lvl2->Lvl0->Lvl1,191.817,191.966,4.50953,182.61,199.89,cfb688b92b4a07e650e30532897fdcdfbc0c726e,params/128bit.hpp,"13.3.0","Release",1
