operand_bits,full_bits,result_type,input_level,ethmsb_mean_ms,he3db_mean_ms,speedup_mean,ethmsb_median_ms,he3db_median_ms,speedup_median,ethmsb_failures,he3db_failures,ethmsb_pbs_count,ethmsb_iks_count,trials,seed,ethmsb_build
4,5,LOGIC,Lvl1,10.765900,13.113400,1.218050,10.779600,12.095100,1.122036,0,0,1,1,20,123,Release USE_AVX512=OFF
4,5,ARITHMETIC,Lvl1,10.551000,12.581000,1.192399,10.259500,12.131800,1.182494,0,0,1,1,20,123,Release USE_AVX512=OFF
8,9,LOGIC,Lvl1,20.860900,36.578000,1.753424,20.402000,36.343400,1.781365,0,0,2,2,20,123,Release USE_AVX512=OFF
8,9,ARITHMETIC,Lvl1,20.655000,35.727000,1.729702,20.449700,35.172100,1.719932,0,0,2,2,20,123,Release USE_AVX512=OFF
10,11,LOGIC,Lvl2,71.842300,116.403000,1.620257,71.876400,109.080000,1.517605,0,0,3,3,20,123,Release USE_AVX512=OFF
10,11,ARITHMETIC,Lvl2,69.962700,105.882000,1.513406,69.685600,106.261000,1.524863,0,0,3,3,20,123,Release USE_AVX512=OFF
12,13,LOGIC,Lvl2,71.736600,106.150000,1.479719,71.292600,106.117000,1.488471,0,0,3,3,20,123,Release USE_AVX512=OFF
12,13,ARITHMETIC,Lvl2,71.432100,106.009000,1.484053,71.788800,106.156000,1.478726,0,0,3,3,20,123,Release USE_AVX512=OFF
16,17,LOGIC,Lvl2,100.545000,174.918000,1.739699,100.033000,169.760000,1.697040,0,0,4,4,20,123,Release USE_AVX512=OFF
16,17,ARITHMETIC,Lvl2,100.075000,169.883000,1.697557,99.374100,170.247000,1.713193,0,0,4,4,20,123,Release USE_AVX512=OFF
24,25,LOGIC,Lvl2,130.737000,298.704000,2.284770,130.931000,297.735000,2.273984,0,0,5,5,20,123,Release USE_AVX512=OFF
24,25,ARITHMETIC,Lvl2,133.165000,297.596000,2.234791,134.302000,298.032000,2.219118,0,0,5,5,20,123,Release USE_AVX512=OFF
32,33,LOGIC,Lvl2,192.066000,370.238000,1.927660,191.523000,369.180000,1.927601,0,0,7,7,20,123,Release USE_AVX512=OFF
32,33,ARITHMETIC,Lvl2,191.817000,366.504000,1.910696,191.966000,367.585000,1.914844,0,0,7,7,20,123,Release USE_AVX512=OFF
