scheme,operand_bits,full_bits,input_level,intermediate_level,output_level,kappa,result_type,trials,seed,failures,pbs_count,iks_count,pbs_l1_count,pbs_l2_count,iks_lvl1_to_lvl0_count,iks_lvl2_to_lvl0_count,iks_lvl2_to_lvl1_count,final_path,mean_ms,median_ms,stddev_ms,min_ms,max_ms,TFHEpp_commit,parameter_header,compiler,compile_flags,thread_count
HE3DB-external-baseline,4,5,Lvl1,Lvl1,Lvl1,NA,LOGIC,20,123,0,NA,NA,NA,NA,NA,NA,NA,external-HE3DB-greater_than,13.1134,12.0951,4.10799,11.7256,30.8697,external-HE3DB,HE3DB-vendored-TFHEpp,"13.3.0","Release -O3 -march=native -funroll-loops",1
HE3DB-external-baseline,4,5,Lvl1,Lvl1,Lvl1,NA,ARITHMETIC,20,123,0,NA,NA,NA,NA,NA,NA,NA,external-HE3DB-greater_than,12.581,12.1318,1.74994,11.201,19.5901,external-HE3DB,HE3DB-vendored-TFHEpp,"13.3.0","Release -O3 -march=native -funroll-loops",1
HE3DB-external-baseline,8,9,Lvl1,Lvl1,Lvl1,NA,LOGIC,20,123,0,NA,NA,NA,NA,NA,NA,NA,external-HE3DB-greater_than,36.578,36.3434,2.26675,33.7925,42.5051,external-HE3DB,HE3DB-vendored-TFHEpp,"13.3.0","Release -O3 -march=native -funroll-loops",1
HE3DB-external-baseline,8,9,Lvl1,Lvl1,Lvl1,NA,ARITHMETIC,20,123,0,NA,NA,NA,NA,NA,NA,NA,external-HE3DB-greater_than,35.727,35.1721,1.92429,33.6772,42.1707,external-HE3DB,HE3DB-vendored-TFHEpp,"13.3.0","Release -O3 -march=native -funroll-loops",1
HE3DB-external-baseline,10,11,Lvl2,Lvl2,Lvl1,NA,LOGIC,20,123,0,NA,NA,NA,NA,NA,NA,NA,external-HE3DB-greater_than,116.403,109.08,20.451,101.88,198.814,external-HE3DB,HE3DB-vendored-TFHEpp,"13.3.0","Release -O3 -march=native -funroll-loops",1
HE3DB-external-baseline,10,11,Lvl2,Lvl2,Lvl1,NA,ARITHMETIC,20,123,0,NA,NA,NA,NA,NA,NA,NA,external-HE3DB-greater_than,105.882,106.261,3.27763,100.106,113.621,external-HE3DB,HE3DB-vendored-TFHEpp,"13.3.0","Release -O3 -march=native -funroll-loops",1
HE3DB-external-baseline,12,13,Lvl2,Lvl2,Lvl1,NA,LOGIC,20,123,0,NA,NA,NA,NA,NA,NA,NA,external-HE3DB-greater_than,106.15,106.117,2.82146,101.429,111.299,external-HE3DB,HE3DB-vendored-TFHEpp,"13.3.0","Release -O3 -march=native -funroll-loops",1
HE3DB-external-baseline,12,13,Lvl2,Lvl2,Lvl1,NA,ARITHMETIC,20,123,0,NA,NA,NA,NA,NA,NA,NA,external-HE3DB-greater_than,106.009,106.156,2.7526,101.24,111.496,external-HE3DB,HE3DB-vendored-TFHEpp,"13.3.0","Release -O3 -march=native -funroll-loops",1
HE3DB-external-baseline,16,17,Lvl2,Lvl2,Lvl1,NA,LOGIC,20,123,0,NA,NA,NA,NA,NA,NA,NA,external-HE3DB-greater_than,174.918,169.76,13.6506,163.17,215.127,external-HE3DB,HE3DB-vendored-TFHEpp,"13.3.0","Release -O3 -march=native -funroll-loops",1
HE3DB-external-baseline,16,17,Lvl2,Lvl2,Lvl1,NA,ARITHMETIC,20,123,0,NA,NA,NA,NA,NA,NA,NA,external-HE3DB-greater_than,169.883,170.247,3.46026,163.551,176.568,external-HE3DB,HE3DB-vendored-TFHEpp,"13.3.0","Release -O3 -march=native -funroll-loops",1
HE3DB-external-baseline,24,25,Lvl2,Lvl2,Lvl1,NA,LOGIC,20,123,0,NA,NA,NA,NA,NA,NA,NA,external-HE3DB-greater_than,298.704,297.735,6.68693,286.208,314.249,external-HE3DB,HE3DB-vendored-TFHEpp,"13.3.0","Release -O3 -march=native -funroll-loops",1
HE3DB-external-baseline,24,25,Lvl2,Lvl2,Lvl1,NA,ARITHMETIC,20,123,0,NA,NA,NA,NA,NA,NA,NA,external-HE3DB-greater_than,297.596,298.032,3.83138,290.265,304.262,external-HE3DB,HE3DB-vendored-TFHEpp,"13.3.0","Release -O3 -march=native -funroll-loops",1
HE3DB-external-baseline,32,33,Lvl2,Lvl2,Lvl1,NA,LOGIC,20,123,0,NA,NA,NA,NA,NA,NA,NA,external-HE3DB-greater_than,370.238,369.18,6.78732,361.14,383.434,external-HE3DB,HE3DB-vendored-TFHEpp,"13.3.0","Release -O3 -march=native -funroll-loops",1
HE3DB-external-baseline,32,33,Lvl2,Lvl2,Lvl1,NA,ARITHMETIC,20,123,0,NA,NA,NA,NA,NA,NA,NA,external-HE3DB-greater_than,366.504,367.585,5.97016,353.323,377.435,external-HE3DB,HE3DB-vendored-TFHEpp,"13.3.0","Release -O3 -march=native -funroll-loops",1
